id,name,category
CAT1,CATEGORY: Basis,1
S001,Magnesiumbisglycinat-Pulver,1
S002,Magnesiumthreonat-Pulver,1
S003,liposomales Magnesium Kapseln 200mg,1
S004,Vitamin C Pulver / Na Ascorbatpulver,1
S005,Vitamin C Kapseln 1000mg,1
S006,Ascorbyl Palmitat / liposomales Vitamin C,1
S007,L-Carnitin (Carnipure) Kapseln,1
S008,L-Carnitin (Carnipure) Lösung,1
S009,Kapselmischung nach UR V.9 Arnika,1
S010,Multi Mischung Vitamine & Mineralien,1
S011,Benfothiamin,1
S012,Vitamin B6 – P5P aktiviert (mit Zink),1
S013,Mangan 10mg,1
S014,Nattokinase 100mg Kapseln,1
S015,Q10 Kapseln 400mg,1
S016,Selen 300 (100 Stk) nüchtern Arnika,1
S017,Selen 200 nüchtern Na-Selenit,1
S018,Vitamin E Kapseln 800 IU E8 Tocotrienol,1
S019,Polyphenol Kapseln Arnika,1
S020,Vitamin D3,1
S021,Vitamin K2 1000µg,1
S022,Calcium,1
S023,OPC Kapseln,1
S024,Lugolsche Lösung (Jod) 5% Tropfen,1
S025,Kelp Tabletten mit Jod,1
S026,Zink 25mg (Zink-Glycinat),1
S027,Eisenpräparat,1
S028,R-Alpha-Liponsäure 400mg,1
S029,Lactoferrin Kapseln,1
S030,Quercetin 500mg,1
S031,Enzyme Multienzym / Superenzym,1
S032,Sulbutiamin,1
S033,Spermidin,1
S034,Berberin (plaquefrei),1
S035,Benfotiamin (Vitamin B1 für das Nervensystem),1
S036,Huperzin,1
S037,Kalium,1
S038,Lithiumorotat 1mg,1
S039,Lithiumorotat 5mg,1
CAT2,CATEGORY: Gehirn / Gedächtnis,2
S040,Omega-3-Öl 1 EL = 2g EPA/DHA,2
S041,Alpha-GPC Kapseln,2
S042,Phosphatidylserin / Phosphatidylcholin,2
S043,NMN Kapseln 500mg,2
S044,NAD+ liposomal 500mg,2
S045,Citicolin Kapseln,2
S046,Trans-Resveratrol Kapseln 1000mg,2
S047,Astaxanthin 18mg Kapseln,2
S048,Lutein 40mg Kapseln,2
S049,Piracetam (Memory),2
S050,Aniracetam (Learning),2
CAT3,CATEGORY: Aminosäuren,3
S051,MAP Pulver (Aminosäuremischung),3
S052,Proteinshake 2 Messlöffel in Wasser / Nussmilch,3
S053,Tyrosin Kapseln 500mg,3
S054,5-HTP 200mg,3
S055,5-HTP 300mg,3
S056,5-HTP 600mg,3
S057,SAMe 400mg,3
S058,Phenylalanin 500mg,3
S059,GABA 1g,3
S060,Tryptophan 500mg,3
S061,Tryptophan 1000mg,3
S062,Lysin Pulver,3
S063,Prolin Pulver,3
S064,Arginin Pulver,3
S065,Arginin Kapseln 1g,3
S066,Citrullin Kapseln,3
S067,Ornithin Kapseln,3
S068,Histidin Kapseln,3
S069,BCAA Kapseln 1g,3
S070,Glycin Kapseln 1000mg,3
S071,Taurin Pulver,3
S072,Methionin 500mg,3
S073,Kreatin Monohydrat Pulver,3
S074,Carnosin Kapseln 500mg,3
CAT4,CATEGORY: Entgiftung oral,4
S075,MSM 1000mg,4
S076,liposomales Glutathion,4
S077,Zeolith (nüchtern),4
S078,DMSA Kapseln 100mg,4
S079,Calcium-EDTA Kapseln 750mg,4
S080,Chlorella Algen,4
S081,NAC 600mg,4
S082,NAC 800mg,4
S083,TUDCA 500mg,4
S084,Lymphdiaral / Lymphomyosot Tropfen,4
S085,Ceres Geranium robertianum Urtinktur,4
S086,Mineralien- und Spurenelemente Mischung,4
S087,NACET 100mg Kapseln,4
S088,NACET Pulver,4
S089,Bromelain 750mg Kapseln nüchtern,4
S090,Sulforaphan 35mg (vor dem Essen),4
S091,Tamarindenextrakt,4
S092,Chelidonium,4
S093,Hyperikum,4
S094,Colostrum (freeze-dried),4
CAT5,CATEGORY: Darmsanierung nach Paracelsus Kl.,5
S095,Symbiolact Pur,5
S096,Probio-Cult AKK1,5
